County,CAN-Active,APV-Active,DEM-Active,GRN-Active,LBR-Active,REP-Active,UAF-Active,UNI-Active,Total-Active,CAN-Inactive,APV-Inactive,DEM-Inactive,GRN-Inactive,LBR-Inactive,REP-Inactive,UAF-Inactive,UNI-Inactive,Total-Inactive,CAN-Prereg,APV-Prereg,DEM-Prereg,GRN-Prereg,LBR-Prereg,REP-Prereg,UAF-Prereg,UNI-Prereg,Total-Prereg,Total,Republicans,Democrats,Unaffiliated,Max,Active,maxPartyValue,maxParty,LABEL,CENT_LAT,CENT_LONG,Color
Adams,1332,580,96382,625,3197,62270,134536,370,299292,121,23,5560,61,309,4570,10135,20,20799,3,0,288,5,11,229,4870,0,5406,313453,66840,101942,144671,2,293188,144671,Unaffiliated,Adams,39.87363357874248,-104.33793521991754,grey
Alamosa,52,11,3168,21,75,2698,3754,12,9791,7,1,315,5,18,221,471,3,1041,0,0,2,0,0,10,128,0,140,10627,2919,3483,4225,1,9620,4225,Unaffiliated,Alamosa,37.57289244857252,-105.78828660682085,lightblue
Arapahoe,1240,585,135708,893,4454,93410,182320,410,419020,147,21,9584,140,624,7023,16211,48,33798,10,4,753,11,22,577,6656,2,8035,444256,100433,145292,198531,2,411438,198531,Unaffiliated,Arapahoe,39.64977248937075,-104.33921896061094,grey
Archuleta,44,6,2208,26,92,4308,4491,4,11179,4,1,211,9,15,393,471,1,1105,1,0,5,0,1,14,103,0,124,12082,4701,2419,4962,3,11007,4962,Unaffiliated,Archuleta,37.19359631460074,-107.04832926923197,pink
Baca,14,1,369,4,20,1361,890,3,2662,3,0,17,0,0,45,76,1,142,0,0,1,0,0,19,28,0,48,2758,1406,386,966,4,2620,1406,Republicans,Baca,37.31918310601132,-102.56046919704164,red
Bent,18,7,673,9,20,1087,1058,3,2875,4,2,56,0,4,62,143,0,271,0,0,2,0,0,12,27,0,41,3079,1149,729,1201,3,2818,1201,Unaffiliated,Bent,37.95508557335055,-103.07170457865062,pink
Boulder,316,134,98449,692,2098,28429,100627,124,230869,47,7,5752,108,352,2146,8285,13,16710,1,1,604,7,12,100,2377,0,3102,243688,30575,104201,108912,1,227505,108912,Unaffiliated,Boulder,40.09247391806483,-105.35774195137786,lightblue
Broomfield,99,37,15685,90,615,11406,24761,25,52718,8,2,922,10,71,877,1908,0,3798,0,0,120,1,4,64,631,0,820,55559,12283,16607,26669,2,51852,26669,Unaffiliated,Broomfield,39.95418091826153,-105.05279824460945,grey
Chaffee,40,7,4043,24,149,4458,7010,8,15739,4,0,291,10,14,431,652,1,1403,0,1,10,0,1,14,100,0,126,16885,4889,4334,7662,2,15511,7662,Unaffiliated,Chaffee,38.746903085481414,-106.19406666505978,grey
Cheyenne,5,0,109,0,0,829,348,0,1291,0,0,4,0,1,25,35,0,65,0,0,0,0,0,15,22,0,37,1350,854,113,383,4,1286,854,Republicans,Cheyenne,38.827939724351275,-102.60339581229915,red
Clear Creek,21,5,2137,29,123,1828,3586,5,7734,7,1,145,7,18,151,295,0,624,0,0,8,0,0,5,61,0,74,8142,1979,2282,3881,2,7551,3881,Unaffiliated,Clear Creek,39.68910239874428,-105.64435901541904,grey
Conejos,19,4,2195,8,22,1824,1208,3,5283,1,0,111,1,4,124,115,0,356,0,0,3,0,0,4,65,0,72,5577,1948,2306,1323,0,5227,2306,Democrats,Conejos,37.200696442550544,-106.19162861810294,blue
Costilla,14,2,1519,7,22,388,842,1,2795,3,0,64,0,3,52,111,0,233,0,0,2,0,0,0,36,0,38,2976,440,1583,953,0,2749,1583,Democrats,Costilla,37.278096478782835,-105.4282693722182,blue
Crowley,12,3,409,8,19,1011,722,2,2186,2,0,37,0,4,49,77,0,169,0,0,0,0,0,8,28,0,36,2305,1060,446,799,4,2142,1060,Republicans,Crowley,38.32666106552565,-103.7848256603326,red
Custer,18,1,546,12,40,2136,1548,2,4303,2,0,36,1,5,165,101,0,310,0,0,0,0,0,2,16,0,18,4532,2301,582,1649,4,4230,2301,Republicans,Custer,38.108677898936804,-105.36747178347521,red
Delta,136,20,3510,57,204,9846,9099,11,22883,13,1,167,4,23,380,505,1,1094,0,0,11,0,1,61,269,0,342,23507,10226,3677,9604,4,22455,10226,Republicans,Delta,38.86137377269841,-107.8628768670198,red
Denver,1208,675,211661,1276,4604,49069,198244,506,467243,241,31,15442,271,773,4768,19797,80,41403,3,2,723,9,6,105,4214,1,5063,498981,53837,227103,218041,0,458974,227103,Democrats,Denver,39.76202837962101,-104.87636530269417,blue
Dolores,9,0,241,3,13,778,643,0,1687,0,0,12,0,4,37,50,0,103,0,0,0,0,0,2,19,0,21,1761,815,253,693,4,1662,815,Republicans,Dolores,37.75159770824955,-108.51722121935197,red
Douglas,523,104,51833,358,2979,95458,114826,110,266191,32,5,2279,37,272,5189,5907,5,13726,6,2,492,3,13,1116,5398,2,7032,275492,100647,54112,120733,3,262117,120733,Unaffiliated,Douglas,39.32972341540055,-104.92956081208517,pink
Eagle,72,28,10089,91,374,7026,17337,27,35044,9,6,597,10,55,473,1245,3,2398,0,0,61,0,0,35,584,0,680,36767,7499,10686,18582,2,34452,18582,Unaffiliated,Eagle,39.62782564739973,-106.6952992376352,grey
El Paso,1889,408,93025,1075,6843,158903,212305,428,474876,263,20,7877,170,915,11431,19089,38,39803,5,0,328,14,15,813,6526,0,7701,502630,170334,100902,231394,2,464233,231394,Unaffiliated,El Paso,38.83209272003013,-104.52558327617149,grey
