,GOV18D,GOV18R,PRECID,NAME
0,0,0,1310903230,Arapahoe 230
1,0,0,2147483647,Arapahoe 256
2,0,0,2147483647,Arapahoe 359
3,0,0,2147483647,Arapahoe 561
4,1137,272,1330716745,Denver 745
5,0,0,2147483647,Arapahoe 349
6,0,0,2147483647,Arapahoe 357
7,0,0,2147483647,Adams 220
8,0,0,2147483647,Arapahoe 458
9,0,0,2147483647,Arapahoe 350
10,27,27,2147483647,Adams 222
11,188,183,2147483647,El Paso 648
12,768,196,1340516540,Denver 540
13,0,0,2147483647,Adams 223
14,0,0,2147483647,Arapahoe 348
15,0,0,2147483647,Arapahoe 361
16,0,0,2147483647,Arapahoe 424
17,0,0,2147483647,Arapahoe 457
18,0,0,2147483647,Adams 178
19,0,0,2147483647,Weld 315
20,3,9,2147483647,Weld 145
21,59,76,2147483647,Adams 177
22,0,0,1310903402,Arapahoe 402
23,3,11,2147483647,Montrose 015
24,476,620,2147483647,Douglas 349
25,8,13,1310903475,Arapahoe 475
26,0,0,2147483647,Adams 179
27,341,443,2147483647,Douglas 360
28,10,17,2147483647,Arapahoe 323
29,7,17,2147483647,Adams 224
30,2,23,2147483647,Lincoln 012
31,25,46,2147483647,Huerfano 008
32,283,178,2147483647,Adams 213
33,3,41,2147483647,Lincoln 008
34,9,20,2147483647,Jackson 004
35,254,223,2147483647,Larimer 548
36,7,16,2147483647,Moffat 004
37,246,182,2147483647,Broomfield 037
38,58,78,2147483647,Adams 197
39,9,21,2147483647,Larimer 424
40,74,245,2147483647,Baca 007
41,6,22,2147483647,Adams 241
42,14,26,2147483647,Adams 154
43,12,45,2147483647,Cheyenne 005
44,1051,280,1330716744,Denver 744
45,5,38,2147483647,Lincoln 011
46,333,316,2147483647,Arapahoe 356
47,15,39,2147483647,Jackson 002
48,327,632,2147483647,El Paso 420
49,4,68,2147483647,Kiowa 004
50,34,44,2147483647,Weld 338
51,1,48,2147483647,Rio Blanco 005
52,10,49,2147483647,San Miguel 005
53,4,63,2147483647,Baca 009
54,791,558,2147483647,Arapahoe 340
55,91,318,2147483647,Phillips 004
56,23,45,2147483647,Saguache 002
57,8,83,2147483647,Moffat 010
58,55,172,2147483647,Phillips 003
59,26,44,2147483647,Larimer 404
60,25,24,2147483647,Arapahoe 550
61,22,80,2147483647,El Paso 520
62,58,53,2147483647,Boulder 400
63,291,351,2147483647,Larimer 804
64,118,234,2147483647,Adams 174
65,11,40,2147483647,Gunnison 001
66,7,70,2147483647,Phillips 002
67,207,208,2147483647,Adams 212
68,15,96,2147483647,Jackson 003
69,27,44,2147483647,Las Animas 002
70,67,4,1310516530,Denver 530
71,405,405,2147483647,Douglas 355
72,41,71,2147483647,Huerfano 011
73,211,239,2147483647,Adams 168
74,27,69,2147483647,Adams 161
75,68,52,2147483647,Jefferson 096
76,49,20,2147483647,Costilla 006
77,26,41,2147483647,Adams 173
78,23,92,2147483647,Weld 129
79,217,495,2147483647,El Paso 449
80,326,568,2147483647,El Paso 454
81,148,276,2147483647,Adams 163
82,51,37,2147483647,Pueblo 065
83,14,84,2147483647,Washington 001
84,111,165,2147483647,Adams 194
85,197,364,2147483647,Weld 148
86,444,383,2147483647,Douglas 257
87,54,83,2147483647,Larimer 425
88,45,123,2147483647,Huerfano 005
89,93,105,2147483647,Adams 201
90,8,93,2147483647,Cheyenne 001
91,36,122,2147483647,El Paso 653
92,92,57,2147483647,Boulder 706
93,13,98,2147483647,Yuma 007
94,14,88,2147483647,Baca 005
95,47,92,2147483647,Montrose 011
96,281,144,2147483647,La Plata 031
97,12,127,2147483647,Lincoln 010
98,19,66,2147483647,Montrose 010
99,99,98,2147483647,Larimer 102
100,28,87,2147483647,El Paso 554
101,19,86,2147483647,Kit Carson 010
102,21,126,2147483647,Yuma 008
103,20,80,2147483647,Lincoln 009
104,26,141,2147483647,Phillips 005
105,96,13,2147483647,Costilla 003
106,176,211,2147483647,Adams 203
107,151,186,2147483647,Adams 072
108,17,111,2147483647,Washington 003
109,94,96,1160130001,Jefferson 001
110,25,105,2147483647,Baca 006
111,281,232,2147483647,Arapahoe 347
112,294,370,2147483647,Larimer 814
113,57,93,2147483647,Gunnison 012
114,129,11,2147483647,Costilla 001
115,50,27,2147483647,Arapahoe 127
116,113,96,2147483647,Las Animas 008
117,387,77,2145235247,Larimer 247
118,422,254,1310916940,Denver 940
119,30,83,2147483647,Eagle 010
120,28,135,2147483647,El Paso 525
121,69,100,2147483647,Adams 225
122,35,8,2147483647,Broomfield 005
123,27,129,2147483647,Pueblo 110
124,20,8,2147483647,Arapahoe 358
125,88,28,2052619001,Eagle 001
126,20,112,2147483647,Baca 003
127,8,112,2147483647,Yuma 005
128,57,50,2147483647,Costilla 005
129,355,439,2147483647,Douglas 267
130,33,114,2147483647,Mesa 011
131,13,138,2147483647,Las Animas 001
132,32,104,2147483647,Fremont 028
133,92,113,2147483647,El Paso 745
134,2009,1836,2147483647,Jefferson 211
135,24,120,2147483647,Lincoln 004
136,62,25,2147483647,Pueblo 045
137,20,173,2147483647,Logan 016
138,51,73,2147483647,El Paso 181
139,56,122,2147483647,Douglas 403
140,21,147,2147483647,Lincoln 006
141,57,105,2147483647,Saguache 004
142,113,86,2147483647,Adams 219
143,119,42,2147483647,Dolores 001
144,12,118,2147483647,Kiowa 001
145,52,138,2147483647,Sedgwick 004
146,912,207,1330716702,Denver 702
147,52,80,2147483647,Adams 226
148,183,53,1310916905,Denver 905
149,175,49,2147483647,Boulder 902
150,36,90,2147483647,Fremont 025
151,200,149,2147483647,Las Animas 013
152,22,166,2147483647,Kit Carson 011
153,573,461,2147483647,Arapahoe 381
154,182,61,2147483647,Boulder 905
155,29,138,2147483647,Kit Carson 012
156,17,85,2147483647,Adams 200
157,31,137,2147483647,Lincoln 001
158,84,67,2147483647,El Paso 109
159,136,87,2147483647,Gunnison 002
160,688,250,2147483647,Broomfield 003
161,117,54,2147483647,Saguache 003
162,14,156,2147483647,Moffat 006
163,344,597,2147483647,Larimer 811
164,211,221,2147483647,Adams 156
165,94,121,2147483647,Eagle 021
166,136,122,2147483647,Adams 155
167,169,21,1330716712,Denver 712
168,85,133,2147483647,Weld 328
169,203,67,1310616609,Denver 609
170,90,147,2147483647,Arapahoe 328
171,59,159,2147483647,Douglas 106
172,343,445,2147483647,Larimer 435
173,39,203,2147483647,Dolores 002
174,178,130,2147483647,Boulder 702
175,101,194,2147483647,Adams 160
176,76,83,2147483647,Adams 139
177,590,792,2147483647,Adams 165
178,41,185,2147483647,Cheyenne 004
179,126,30,2147483647,Costilla 002
180,21,160,2147483647,Washington 005
181,37,185,2147483647,Baca 001
182,31,210,2147483647,Weld 102
183,179,203,2147483647,Adams 195
184,882,188,2147483647,Boulder 213
185,59,95,2147483647,Huerfano 007
186,193,224,2147483647,Adams 075
187,55,40,2147483647,Pueblo 064
188,67,189,2147483647,Gunnison 011
189,35,182,2147483647,Morgan 012
190,53,158,2147483647,Crowley 004
191,187,99,2147483647,Boulder 704
192,245,222,2147483647,Arapahoe 443
193,68,215,2147483647,Weld 231
194,22,114,2147483647,Yuma 003
195,32,77,2147483647,Rio Grande 006
196,129,197,2147483647,Arapahoe 201
197,164,186,2147483647,Adams 202
198,69,141,2147483647,Park 004
199,92,194,2147483647,Adams 227
200,264,475,2147483647,Larimer 810
201,25,195,2147483647,Kiowa 002
202,37,118,2147483647,Moffat 008
203,55,235,2147483647,Phillips 006
204,34,156,2147483647,Sedgwick 005
205,919,140,1340516515,Denver 515
206,108,139,2147483647,Conejos 007
207,276,64,1310616610,Denver 610
208,134,113,2086159012,Summt 012
209,227,73,2147483647,Boulder 915
210,26,179,2147483647,Kit Carson 013
211,49,188,2147483647,Sedgwick 002
212,132,167,2147483647,Arapahoe 202
213,27,214,2147483647,Yuma 010
214,113,97,2147483647,Arapahoe 276
215,135,248,2147483647,Las Animas 009
216,22,21,2147483647,Adams 196
217,160,166,1260303135,Arapahoe 135
218,213,31,2147483647,Boulder 832
219,333,60,2147483647,Boulder 873
220,57,133,2147483647,Crowley 006
221,143,30,2147483647,Costilla 004
222,408,679,2147483647,Douglas 265
223,114,214,2147483647,Fremont 023
224,103,83,2147483647,Adams 130
225,487,901,2147483647,Douglas 344
226,42,168,2147483647,Kit Carson 008
227,47,239,2147483647,Dolores 003
228,121,48,2147483647,Arapahoe 258
229,32,225,2147483647,Cheyenne 002
230,91,100,2147483647,Adams 183
231,53,257,2147483647,Kiowa 003
232,145,233,2147483647,Las Animas 007
233,310,264,2147483647,Arapahoe 380
234,325,222,1260303113,Arapahoe 113
235,21,228,2147483647,Yuma 009
236,38,223,2147483647,Logan 014
237,88,183,2147483647,El Paso 159
238,53,121,2147483647,Crowley 003
239,199,150,2147483647,Arapahoe 254
240,101,200,2147483647,Las Animas 005
241,36,242,2147483647,Logan 012
242,116,238,2147483647,Adams 164
243,191,173,2147483647,Huerfano 010
244,159,64,2147483647,La Plata 027
245,73,173,2147483647,Kit Carson 006
246,135,316,2147483647,Fremont 021
247,117,60,2147483647,Pueblo 019
248,229,101,1310903138,Arapahoe 138
249,218,151,2147483647,Las Animas 014
250,62,216,2147483647,Jackson 001
251,247,145,2147483647,Boulder 703
252,149,243,2147483647,El Paso 741
253,87,201,2147483647,Custer 002
254,82,163,2147483647,Sedgwick 003
255,197,169,2147483647,Boulder 407
256,193,430,2147483647,Weld 153
257,303,174,2147483647,Arapahoe 455
258,294,511,2147483647,Larimer 813
259,82,155,2147483647,Rio Grande 013
260,186,122,2147483647,Huerfano 001
261,75,193,2147483647,Jackson 005
262,409,269,2147483647,La Plata 010
263,328,512,2147483647,El Paso 424
264,193,152,2147483647,Adams 221
265,131,45,2147483647,La Plata 009
266,32,262,2147483647,Weld 101
267,39,202,2147483647,Kit Carson 007
268,385,272,2147483647,Arapahoe 173
269,193,203,2147483647,Arapahoe 156
270,269,134,2147483647,Boulder 405
271,46,130,2147483647,Lincoln 005
272,55,210,2147483647,El Paso 500
273,107,163,2147483647,Archuleta 004
274,288,370,2147483647,Larimer 525
275,42,212,2147483647,Adams 249
276,152,317,2147483647,Broomfield 034
277,136,95,2021310002,Clear Creek 002
278,236,133,2147483647,Boulder 916
279,409,120,1340816809,Denver 809
280,418,943,2147483647,Weld 130
281,345,72,2147483647,Boulder 805
282,102,98,2147483647,Rio Grande 001
283,80,147,2147483647,Crowley 002
284,465,754,2147483647,Weld 133
285,291,410,2147483647,Adams 142
286,142,216,2147483647,Adams 176
287,114,274,2147483647,Adams 166
288,203,113,1320116115,Denver 115
289,170,105,2147483647,Conejos 003
290,196,190,2147483647,Routt 007
291,301,33,1330716711,Denver 711
292,59,214,2147483647,Adams 245
293,57,27,2147483647,Adams 105
294,152,149,2147483647,Jefferson 097
295,65,193,2147483647,Lincoln 013
296,40,196,2147483647,Baca 002
297,75,246,2147483647,Pueblo 303
298,319,270,2147483647,Douglas 270
299,51,336,2147483647,Weld 103
300,338,421,2147483647,Larimer 531
301,157,281,2147483647,Ouray 004
302,102,243,2147483647,Pueblo 304
303,49,210,2147483647,Kit Carson 004
304,179,223,1263803141,Arapahoe 141
305,369,44,2147483647,Boulder 900
306,78,236,2147483647,Baca 008
307,77,117,2147483647,Adams 184
308,103,174,2147483647,Teller 006
309,325,587,2147483647,El Paso 423
310,53,48,2147483647,Pueblo 020
311,195,77,2147483647,Pueblo 044
312,162,129,1202230015,Jefferson 015
313,212,107,2147483647,Pueblo 040
314,182,43,2147483647,Pueblo 101
315,177,144,2147483647,Arapahoe 345
316,64,195,2147483647,Lincoln 007
317,73,214,2147483647,Sedgwick 001
318,70,150,2147483647,Otero 017
319,207,143,2147483647,Arapahoe 166
320,56,196,2147483647,Montrose 016
321,371,41,2147483647,Boulder 904
