,COUNTYFP,VTDST,NAME,CD116FP,SLDUST,SLDLST,PRECID,AG18D,AG18R,SOS18D,SOS18R,TRE18D,TRE18R,GOV18D,GOV18R,REG18D,REG18R,USH18D,USH18R,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP
0,005,005230,Arapahoe 230,01,031,009,1310903230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,005,005256,Arapahoe 256,06,026,003,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,005,005359,Arapahoe 359,04,029,056,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,005,005561,Arapahoe 561,06,028,036,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,031,031745,Denver 745,01,033,007,1330716745,1084,303,1073,316,1046,334,1137,272,1050,254,1121,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,005,005349,Arapahoe 349,06,028,036,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,005,005357,Arapahoe 357,04,029,056,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,001,001220,Adams 220,07,021,032,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,005,005458,Arapahoe 458,06,027,037,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,005,005350,Arapahoe 350,04,028,036,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,001,001222,Adams 222,07,021,032,2147483647,24,28,31,24,27,28,27,27,28,22,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,041,041648,El Paso 648,05,012,021,2147483647,179,202,180,205,189,192,188,183,182,185,192,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,031,031540,Denver 540,01,034,005,1340516540,760,193,751,215,715,256,768,196,713,176,771,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,001,001223,Adams 223,07,021,032,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,005,005348,Arapahoe 348,04,028,036,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,005,005361,Arapahoe 361,04,029,036,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
16,005,005424,Arapahoe 424,06,026,040,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17,005,005457,Arapahoe 457,06,027,040,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
18,001,001178,Adams 178,06,025,056,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1
19,123,123315,Weld 315,04,023,063,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
20,123,123145,Weld 145,04,013,049,2147483647,1,11,3,9,3,9,3,9,3,8,1,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0
21,001,001177,Adams 177,06,025,056,2147483647,52,74,58,74,48,80,59,76,53,67,56,78,19,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,1,13,0,0,0,0,0,0
22,005,005402,Arapahoe 402,01,031,009,1310903402,0,0,0,0,0,0,0,0,0,0,0,0,22,15,1,0,1,0,0,0,4,3,0,0,0,0,1,0,19,3,14,1,0,1,0,0,0
23,085,085015,Montrose 015,03,006,058,2147483647,2,12,3,11,3,11,3,11,2,8,3,11,23,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,1,18,0,0,0,0,0,0
24,035,035349,Douglas 349,04,004,045,2147483647,446,613,455,630,434,632,476,620,418,576,492,622,29,23,1,0,0,0,0,0,2,2,0,0,0,0,0,0,19,0,16,1,0,0,0,0,0
25,005,005475,Arapahoe 475,01,031,009,1310903475,9,10,9,12,8,11,8,13,7,12,8,11,33,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,25,0,0,4,0,0,0
26,001,001179,Adams 179,06,025,056,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,35,28,0,0,0,0,0,0,5,4,0,0,0,0,0,0,25,3,20,0,0,0,0,0,0
27,035,035360,Douglas 360,04,004,045,2147483647,329,430,327,442,334,427,341,443,321,388,357,431,40,35,0,0,1,0,0,0,1,1,0,0,0,0,0,0,28,0,24,0,0,1,0,0,0
28,005,005323,Arapahoe 323,06,026,040,2147483647,8,18,11,17,10,17,10,17,9,16,8,19,44,37,0,0,4,0,0,1,1,0,0,0,0,0,0,0,37,0,31,0,0,3,0,0,1
29,001,001224,Adams 224,07,021,032,2147483647,9,17,8,17,11,14,7,17,8,17,8,17,47,39,0,0,0,0,0,0,8,8,0,0,0,0,0,0,36,5,31,0,0,0,0,0,0
30,073,073012,Lincoln 012,04,001,064,2147483647,2,24,3,25,2,26,2,23,2,24,2,28,54,52,1,0,0,0,0,0,1,0,0,0,0,0,1,0,42,1,41,0,0,0,0,0,0
31,055,055008,Huerfano 008,03,035,062,2147483647,23,51,23,50,24,48,25,46,21,48,21,50,54,47,0,0,0,0,0,0,7,2,0,1,0,0,1,3,43,4,39,0,0,0,0,0,0
32,001,001213,Adams 213,07,021,030,2147483647,269,189,280,188,266,196,283,178,272,174,280,181,60,46,2,0,1,0,0,5,4,2,0,0,0,0,0,1,43,2,33,2,0,1,0,0,3
33,073,073008,Lincoln 008,04,001,064,2147483647,3,39,3,40,6,37,3,41,2,39,7,37,60,56,0,0,0,0,0,0,4,0,0,0,0,0,4,0,49,2,47,0,0,0,0,0,0
34,057,057004,Jackson 004,03,008,013,2147483647,8,19,9,22,8,21,9,20,8,20,8,22,61,59,0,0,0,0,0,0,2,2,0,0,0,0,0,0,56,2,54,0,0,0,0,0,0
35,069,069548,Larimer 548,02,015,051,2147483647,233,241,258,222,250,222,254,223,241,205,240,211,61,55,1,0,2,0,0,2,1,1,0,0,0,0,0,0,54,1,50,1,0,2,0,0,0
36,081,081004,Moffat 004,03,008,057,2147483647,6,17,7,18,6,15,7,16,6,13,6,15,65,48,0,0,0,0,4,1,12,5,0,0,0,0,7,0,56,8,46,0,0,0,0,1,1
37,014,014037,Broomfield 037,02,023,033,2147483647,238,184,233,189,228,188,246,182,224,158,237,177,67,50,1,0,0,0,0,0,15,13,0,0,0,0,0,0,50,10,39,0,0,0,0,0,0
38,001,001197,Adams 197,06,025,056,2147483647,56,80,61,77,54,76,58,78,57,75,68,75,70,58,4,1,0,0,0,0,6,6,0,0,0,0,0,0,60,6,49,3,1,0,0,0,0
